Año,Mes,País,Material,Producto,Producción
2024,Agosto,El Salvador,Acero,BOF,0.0
2024,Agosto,Guatemala,Acero,H.Eléctrico,17.420339914932114
2024,Agosto,Guatemala,Acero,BOF,0.0
2024,Agosto,México,Acero,H.Eléctrico,0.0
2024,Agosto,México,Acero,BOF,0.0
2024,Agosto,Paraguay,Acero,H.Eléctrico,0.0
2024,Agosto,Paraguay,Acero,BOF,2.7291176107636663
2024,Agosto,Perú,Acero,H.Eléctrico,166.940028212057
2024,Agosto,Perú,Acero,BOF,0.0
2024,Agosto,Trinidad y Tobago,Acero,H.Eléctrico,
2024,Agosto,Trinidad y Tobago,Acero,BOF,
2024,Agosto,Uruguay,Acero,H.Eléctrico,4.104580440595935
2024,Agosto,Uruguay,Acero,BOF,0.0
2024,Agosto,Venezuela,Acero,H.Eléctrico,2.935898597438467
2024,Agosto,Venezuela,Acero,BOF,0.0
2024,Septiembre,Argentina,Acero,H.Eléctrico,206.776
2024,Septiembre,Argentina,Acero,BOF,164.113
2024,Septiembre,Brasil,Acero,H.Eléctrico,681.562
2024,Septiembre,Brasil,Acero,BOF,2202.179
2024,Septiembre,Chile,Acero,H.Eléctrico,25.714
2024,Septiembre,Chile,Acero,BOF,24.7523
2024,Septiembre,Colombia,Acero,H.Eléctrico,111.011328
2024,Septiembre,Colombia,Acero,BOF,0.0
2024,Septiembre,Cuba,Acero,H.Eléctrico,15.5134591119046
2024,Septiembre,Cuba,Acero,BOF,0.0
2024,Septiembre,Ecuador,Acero,H.Eléctrico,40.86853460261263
2024,Septiembre,Ecuador,Acero,BOF,0.0
2024,Septiembre,El Salvador,Acero,H.Eléctrico,6.834792384981471
2024,Septiembre,El Salvador,Acero,BOF,0.0
2024,Septiembre,Guatemala,Acero,H.Eléctrico,22.46108595844623
2024,Septiembre,Guatemala,Acero,BOF,0.0
2024,Septiembre,México,Acero,H.Eléctrico,0.0
2024,Septiembre,México,Acero,BOF,0.0
2024,Septiembre,Paraguay,Acero,H.Eléctrico,0.0
2024,Septiembre,Paraguay,Acero,BOF,2.381782691232464
2024,Septiembre,Perú,Acero,H.Eléctrico,134.2233168007011
2024,Septiembre,Perú,Acero,BOF,0.0
2024,Septiembre,Trinidad y Tobago,Acero,H.Eléctrico,
2024,Septiembre,Trinidad y Tobago,Acero,BOF,
2024,Septiembre,Uruguay,Acero,H.Eléctrico,4.121543016383785
2024,Septiembre,Uruguay,Acero,BOF,0.0
2024,Septiembre,Venezuela,Acero,H.Eléctrico,2.8021474605884444
2024,Septiembre,Venezuela,Acero,BOF,0.0
2024,Octubre,Argentina,Acero,H.Eléctrico,223.497
2024,Octubre,Argentina,Acero,BOF,136.125
2024,Octubre,Brasil,Acero,H.Eléctrico,755.416
2024,Octubre,Brasil,Acero,BOF,2319.163
2024,Octubre,Chile,Acero,H.Eléctrico,40.351
2024,Octubre,Chile,Acero,BOF,0.0
2024,Octubre,Colombia,Acero,H.Eléctrico,92.4201
2024,Octubre,Colombia,Acero,BOF,0.0
2024,Octubre,Cuba,Acero,H.Eléctrico,14.722245124377201
2024,Octubre,Cuba,Acero,BOF,0.0
2024,Octubre,Ecuador,Acero,H.Eléctrico,36.625245420395615
2024,Octubre,Ecuador,Acero,BOF,0.0
2024,Octubre,El Salvador,Acero,H.Eléctrico,12.290538169899998
2024,Octubre,El Salvador,Acero,BOF,0.0
2024,Octubre,Guatemala,Acero,H.Eléctrico,21.56697536895435
2024,Octubre,Guatemala,Acero,BOF,0.0
2024,Octubre,México,Acero,H.Eléctrico,0.0
2024,Octubre,México,Acero,BOF,0.0
2024,Octubre,Paraguay,Acero,H.Eléctrico,0.0
2024,Octubre,Paraguay,Acero,BOF,2.7326826225515672
2024,Octubre,Perú,Acero,H.Eléctrico,131.26243190304143
2024,Octubre,Perú,Acero,BOF,0.0
2024,Octubre,Trinidad y Tobago,Acero,H.Eléctrico,
2024,Octubre,Trinidad y Tobago,Acero,BOF,
2024,Octubre,Uruguay,Acero,H.Eléctrico,4.107854844081309
2024,Octubre,Uruguay,Acero,BOF,0.0
2024,Octubre,Venezuela,Acero,H.Eléctrico,2.901943829635328
2024,Octubre,Venezuela,Acero,BOF,0.0
2024,Noviembre,Argentina,Acero,H.Eléctrico,186.263
2024,Noviembre,Argentina,Acero,BOF,152.263
2024,Noviembre,Brasil,Acero,H.Eléctrico,672.562
