Fecha,Familia_canacero,Vol. Ventas (ton)
2020-12,01.01 PLACA DE ROLLO,10248
2020-12,02.01 LAMINA EN CALIENTE,10453
2021-01,05.01 PERFILES ESTRUCTURALES,11571
2021-01,04.01 LAMINA GALVANIZADA,294
2021-01,03.01 LAMINA EN FRIO,1407
2021-01,06.01 PERFILES COMERCIALES,5423
2021-01,01.02 PLACA DE HOJA,2134
2021-01,01.01 PLACA DE ROLLO,9271
2021-01,02.01 LAMINA EN CALIENTE,9661
2021-02,01.01 PLACA DE ROLLO,9440
2021-02,01.02 PLACA DE HOJA,1596
2021-02,02.01 LAMINA EN CALIENTE,9502
2021-02,03.01 LAMINA EN FRIO,1849
2021-02,04.01 LAMINA GALVANIZADA,236
2021-02,05.01 PERFILES ESTRUCTURALES,8155
2021-02,06.01 PERFILES COMERCIALES,4203
2021-03,06.01 PERFILES COMERCIALES,5302
2021-03,05.01 PERFILES ESTRUCTURALES,12236
2021-03,04.01 LAMINA GALVANIZADA,386
2021-03,01.02 PLACA DE HOJA,3926
2021-03,02.01 LAMINA EN CALIENTE,12934
2021-03,01.01 PLACA DE ROLLO,11008
2021-03,03.01 LAMINA EN FRIO,2273
2021-04,06.01 PERFILES COMERCIALES,5078
2021-04,04.01 LAMINA GALVANIZADA,214
2021-04,03.01 LAMINA EN FRIO,1977
2021-04,05.01 PERFILES ESTRUCTURALES,9963
2021-04,01.02 PLACA DE HOJA,2451
2021-04,01.01 PLACA DE ROLLO,9078
2021-04,02.01 LAMINA EN CALIENTE,9502
2021-05,05.01 PERFILES ESTRUCTURALES,12463
2021-05,01.01 PLACA DE ROLLO,10690
2021-05,01.02 PLACA DE HOJA,4281
2021-05,02.01 LAMINA EN CALIENTE,11178
2021-05,03.01 LAMINA EN FRIO,1940
2021-05,04.01 LAMINA GALVANIZADA,367
2021-05,06.01 PERFILES COMERCIALES,5076
2021-06,04.01 LAMINA GALVANIZADA,394
2021-06,05.01 PERFILES ESTRUCTURALES,11565
2021-06,03.01 LAMINA EN FRIO,1383
2021-06,06.01 PERFILES COMERCIALES,4729
2021-06,01.02 PLACA DE HOJA,4238
2021-06,01.01 PLACA DE ROLLO,9969
2021-06,02.01 LAMINA EN CALIENTE,9188
2021-07,01.01 PLACA DE ROLLO,7969
2021-07,01.02 PLACA DE HOJA,3257
2021-07,02.01 LAMINA EN CALIENTE,7056
2021-07,03.01 LAMINA EN FRIO,1329
2021-07,04.01 LAMINA GALVANIZADA,545
2021-07,05.01 PERFILES ESTRUCTURALES,9071
2021-07,06.01 PERFILES COMERCIALES,3737
2021-08,05.01 PERFILES ESTRUCTURALES,11406
2021-08,04.01 LAMINA GALVANIZADA,856
2021-08,03.01 LAMINA EN FRIO,1520
2021-08,06.01 PERFILES COMERCIALES,4174
2021-08,01.02 PLACA DE HOJA,4663
2021-08,01.01 PLACA DE ROLLO,8533
2021-08,02.01 LAMINA EN CALIENTE,8128
2021-09,05.01 PERFILES ESTRUCTURALES,9814
2021-09,04.01 LAMINA GALVANIZADA,556
2021-09,03.01 LAMINA EN FRIO,1323
2021-09,06.01 PERFILES COMERCIALES,4498
2021-09,01.02 PLACA DE HOJA,2919
2021-09,01.01 PLACA DE ROLLO,8015
2021-09,02.01 LAMINA EN CALIENTE,9173
2021-10,01.01 PLACA DE ROLLO,8922
2021-10,01.02 PLACA DE HOJA,2548
2021-10,02.01 LAMINA EN CALIENTE,9495
2021-10,03.01 LAMINA EN FRIO,1753
2021-10,04.01 LAMINA GALVANIZADA,717
2021-10,05.01 PERFILES ESTRUCTURALES,10507
2021-10,06.01 PERFILES COMERCIALES,4576
2021-11,05.01 PERFILES ESTRUCTURALES,10378
2021-11,06.01 PERFILES COMERCIALES,4346
2021-11,04.01 LAMINA GALVANIZADA,589
2021-11,03.01 LAMINA EN FRIO,1657
2021-11,02.01 LAMINA EN CALIENTE,9890
2021-11,01.02 PLACA DE HOJA,2597
2021-11,01.01 PLACA DE ROLLO,7861
2021-12,01.01 PLACA DE ROLLO,8664
2021-12,01.02 PLACA DE HOJA,2560
2021-12,02.01 LAMINA EN CALIENTE,9532
2021-12,03.01 LAMINA EN FRIO,1655
2021-12,04.01 LAMINA GALVANIZADA,518
2021-12,05.01 PERFILES ESTRUCTURALES,10007
2021-12,06.01 PERFILES COMERCIALES,4130
2022-01,05.01 PERFILES ESTRUCTURALES,9521
2022-01,04.01 LAMINA GALVANIZADA,643
2022-01,03.01 LAMINA EN FRIO,1958
2022-01,06.01 PERFILES COMERCIALES,4567
2022-01,01.02 PLACA DE HOJA,2842
2022-01,01.01 PLACA DE ROLLO,9744
2022-01,02.01 LAMINA EN CALIENTE,9877
2022-02,05.01 PERFILES ESTRUCTURALES,10767
2022-02,04.01 LAMINA GALVANIZADA,563
2022-02,03.01 LAMINA EN FRIO,1605
2022-02,06.01 PERFILES COMERCIALES,5181
2022-02,01.02 PLACA DE HOJA,1702
2022-02,01.01 PLACA DE ROLLO,10700
2022-02,02.01 LAMINA EN CALIENTE,9582
2022-03,01.01 PLACA DE ROLLO,17759
2022-03,01.02 PLACA DE HOJA,2553
2022-03,02.01 LAMINA EN CALIENTE,16652
2022-03,03.01 LAMINA EN FRIO,3242
2022-03,04.01 LAMINA GALVANIZADA,1044
2022-03,05.01 PERFILES ESTRUCTURALES,15987
2022-03,06.01 PERFILES COMERCIALES,6196
2022-04,04.01 LAMINA GALVANIZADA,848
2022-04,05.01 PERFILES ESTRUCTURALES,11268
2022-04,03.01 LAMINA EN FRIO,2224
2022-04,06.01 PERFILES COMERCIALES,5237
2022-04,01.02 PLACA DE HOJA,1423
2022-04,01.01 PLACA DE ROLLO,13527
2022-04,02.01 LAMINA EN CALIENTE,11884
2022-05,01.01 PLACA DE ROLLO,11619
2022-05,01.02 PLACA DE HOJA,1481
2022-05,02.01 LAMINA EN CALIENTE,10818
2022-05,03.01 LAMINA EN FRIO,1990
2022-05,04.01 LAMINA GALVANIZADA,833
2022-05,05.01 PERFILES ESTRUCTURALES,9413
2022-05,06.01 PERFILES COMERCIALES,6032
2022-06,05.01 PERFILES ESTRUCTURALES,10629
2022-06,04.01 LAMINA GALVANIZADA,933
2022-06,03.01 LAMINA EN FRIO,1790
2022-06,06.01 PERFILES COMERCIALES,4212
2022-06,01.02 PLACA DE HOJA,1688
2022-06,01.01 PLACA DE ROLLO,13558
2022-06,02.01 LAMINA EN CALIENTE,11180
2022-07,05.01 PERFILES ESTRUCTURALES,9048
2022-07,04.01 LAMINA GALVANIZADA,918
2022-07,03.01 LAMINA EN FRIO,1704
2022-07,06.01 PERFILES COMERCIALES,3811
2022-07,01.02 PLACA DE HOJA,1784
2022-07,01.01 PLACA DE ROLLO,13890
2022-07,02.01 LAMINA EN CALIENTE,10822
2022-08,01.01 PLACA DE ROLLO,14852
2022-08,01.02 PLACA DE HOJA,2000
2022-08,02.01 LAMINA EN CALIENTE,12285
2022-08,03.01 LAMINA EN FRIO,1996
2022-08,04.01 LAMINA GALVANIZADA,953
2022-08,05.01 PERFILES ESTRUCTURALES,11012
2022-08,06.01 PERFILES COMERCIALES,4936
2022-09,04.01 LAMINA GALVANIZADA,1043
2022-09,05.01 PERFILES ESTRUCTURALES,10602
2022-09,03.01 LAMINA EN FRIO,2625
2022-09,06.01 PERFILES COMERCIALES,4454
2022-09,01.02 PLACA DE HOJA,1576
2022-09,02.01 LAMINA EN CALIENTE,14548
2022-09,01.01 PLACA DE ROLLO,14086
2022-10,06.01 PERFILES COMERCIALES,4346
2022-10,01.01 PLACA DE ROLLO,16661
2022-10,01.02 PLACA DE HOJA,2076
2022-10,02.01 LAMINA EN CALIENTE,13139
2022-10,03.01 LAMINA EN FRIO,2551
2022-10,04.01 LAMINA GALVANIZADA,1238
2022-10,05.01 PERFILES ESTRUCTURALES,10589
2022-11,06.01 PERFILES COMERCIALES,3827
2022-11,05.01 PERFILES ESTRUCTURALES,8473
2022-11,04.01 LAMINA GALVANIZADA,1065
2022-11,01.01 PLACA DE ROLLO,16800
2022-11,02.01 LAMINA EN CALIENTE,13104
2022-11,01.02 PLACA DE HOJA,2031
2022-11,03.01 LAMINA EN FRIO,2380
2022-12,04.01 LAMINA GALVANIZADA,977
2022-12,05.01 PERFILES ESTRUCTURALES,9028
2022-12,06.01 PERFILES COMERCIALES,4750
2022-12,03.01 LAMINA EN FRIO,2368
2022-12,01.02 PLACA DE HOJA,2099
2022-12,01.01 PLACA DE ROLLO,19152
2022-12,02.01 LAMINA EN CALIENTE,15591
2023-01,05.01 PERFILES ESTRUCTURALES,9293
2023-01,04.01 LAMINA GALVANIZADA,1099
2023-01,03.01 LAMINA EN FRIO,2881
2023-01,06.01 PERFILES COMERCIALES,5088
2023-01,01.02 PLACA DE HOJA,2553
2023-01,01.01 PLACA DE ROLLO,17807
