,Producto,Toneladas,Mes,Año,Categoría
300,Perfiles Estructurales (Caliente y Frío),57953.90166089084,Jun,2012,Largos
301,Caliente,58621.24702489085,Jun,2012,Largos
302,Frío,-667.3453640000002,Jun,2012,Largos
303,Perfiles Comerciales formados en Caliente,27341.508879453533,Jun,2012,Largos
304,Barras,114955.89749868149,Jun,2012,Largos
305,Perfiles Inoxidables y Aleados,1268.394618,Jun,2012,Largos
306,Rieles,1309.509,Jun,2012,Largos
307,TUBOS CON Y SIN COSTURA,131132.43247291975,Jun,2012,Terminados
308,Tubos sin Costura,47242.96815368754,Jun,2012,Terminados
309,Tubos con Costura,83889.46431923221,Jun,2012,Terminados
310,Tubos c/Costura ≤ 406.4 mm,39140.7516876161,Jun,2012,Terminados
311,Tubos c/Costura > 406.4 mm,44748.712631616116,Jun,2012,Terminados
313,Mineral de Hierro,635445.286056,Jul,2012,Materias Primas
314,Carbón Mineral,1912156.7596540002,Jul,2012,Materias Primas
315,Coque,234972.92991900002,Jul,2012,Materias Primas
316,Chatarra,591047.265109,Jul,2012,Materias Primas
317,Material Relaminable,2876.403539,Jul,2012,Materias Primas
319,Horno Eléctrico,0.0,Jul,2012,Acero
320,Convertidor al Oxígeno,0.0,Jul,2012,Acero
322,HIERRO DE PRIMERA FUSIÓN,871015.091067309,Jul,2012,Básicos
323,Arrabio,413160.7344273761,Jul,2012,Básicos
324,Fierro Esponja,457854.3566399329,Jul,2012,Básicos
325,Ferroaleaciones,21729.74163733333,Jul,2012,Básicos
326,Granallas y Polvos,3073.574015,Jul,2012,Básicos
328,Planchón,275620.96460968466,Jul,2012,Semiterminados
329,"Lingotes, Palanquillas, etc.",-5710.544252,Jul,2012,Semiterminados
332,Placa,230177.09974651667,Jul,2012,Planos
333,en Rollo,125238.81302251667,Jul,2012,Planos
334,en Hoja,104938.28672399999,Jul,2012,Planos
335,Lámina en Caliente,283264.55291962146,Jul,2012,Planos
336,Lámina en Frío,311379.9117588219,Jul,2012,Planos
337,Lámina con Recubrimiento,235112.11386060406,Jul,2012,Planos
338,Lámina Galvanizada,213400.29778560408,Jul,2012,Planos
339,Lámina Estañada (Hojalata),17132.384861,Jul,2012,Planos
340,Lámina Cromada,10059.968389999998,Jul,2012,Planos
341,Planos con Otros Recubiertos y Trabajos,-5480.537176000001,Jul,2012,Planos
342,Planos de Acero al Silicio,17606.450015000002,Jul,2012,Planos
343,Planos de Acero Aleado,105201.39609,Jul,2012,Planos
344,Planos de Acero Inoxidable,45507.39468123533,Jul,2012,Planos
345,"Cintas, Tiras y Flejes",-479.7130299999999,Jul,2012,Planos
347,Alambrón,187213.67581222017,Jul,2012,Largos
348,Alambre y derivados,157280.20753103832,Jul,2012,Largos
349,Alambre,159869.11739989833,Jul,2012,Largos
350,Derivados de alambre,-2588.909868859996,Jul,2012,Largos
351,Varilla Corrugada,281589.58917129686,Jul,2012,Largos
352,Perfiles Estructurales (Caliente y Frío),76575.95702735908,Jul,2012,Largos
353,Caliente,78189.44282235907,Jul,2012,Largos
354,Frío,-1613.4857950000005,Jul,2012,Largos
355,Perfiles Comerciales formados en Caliente,29667.448669094436,Jul,2012,Largos
356,Barras,131002.86570674043,Jul,2012,Largos
357,Perfiles Inoxidables y Aleados,1533.184341,Jul,2012,Largos
358,Rieles,3693.404,Jul,2012,Largos
359,TUBOS CON Y SIN COSTURA,116191.73165073936,Jul,2012,Terminados
360,Tubos sin Costura,31411.13408334183,Jul,2012,Terminados
361,Tubos con Costura,84780.59756739752,Jul,2012,Terminados
362,Tubos c/Costura ≤ 406.4 mm,38696.18786919875,Jul,2012,Terminados
363,Tubos c/Costura > 406.4 mm,46084.40969819876,Jul,2012,Terminados
365,Mineral de Hierro,215487.20097699994,Ago,2012,Materias Primas
366,Carbón Mineral,1615474.574976,Ago,2012,Materias Primas
367,Coque,208065.076186,Ago,2012,Materias Primas
368,Chatarra,691119.720693,Ago,2012,Materias Primas
369,Material Relaminable,2120.311525,Ago,2012,Materias Primas
371,Horno Eléctrico,0.0,Ago,2012,Acero
372,Convertidor al Oxígeno,0.0,Ago,2012,Acero
374,HIERRO DE PRIMERA FUSIÓN,928090.4289116922,Ago,2012,Básicos
375,Arrabio,406977.31357021077,Ago,2012,Básicos
376,Fierro Esponja,521113.1153414814,Ago,2012,Básicos
377,Ferroaleaciones,17096.65117833333,Ago,2012,Básicos
378,Granallas y Polvos,4050.3571310000007,Ago,2012,Básicos
380,Planchón,207428.94481974782,Ago,2012,Semiterminados
381,"Lingotes, Palanquillas, etc.",10097.856710999999,Ago,2012,Semiterminados
384,Placa,217055.72328809943,Ago,2012,Planos
385,en Rollo,123914.23680009943,Ago,2012,Planos
386,en Hoja,93141.486488,Ago,2012,Planos
387,Lámina en Caliente,321585.6027926741,Ago,2012,Planos
388,Lámina en Frío,302329.10611309565,Ago,2012,Planos
389,Lámina con Recubrimiento,280476.4958873334,Ago,2012,Planos
390,Lámina Galvanizada,242896.5271043334,Ago,2012,Planos
391,Lámina Estañada (Hojalata),26051.676536,Ago,2012,Planos
392,Lámina Cromada,15221.39162,Ago,2012,Planos
393,Planos con Otros Recubiertos y Trabajos,-3693.099373000001,Ago,2012,Planos
394,Planos de Acero al Silicio,15746.221267,Ago,2012,Planos
395,Planos de Acero Aleado,118887.78136200002,Ago,2012,Planos
396,Planos de Acero Inoxidable,51578.46514344944,Ago,2012,Planos
397,"Cintas, Tiras y Flejes",1704.6536270000006,Ago,2012,Planos
399,Alambrón,194067.51807583604,Ago,2012,Largos
400,Alambre y derivados,156699.02933485724,Ago,2012,Largos
401,Alambre,158846.07712742724,Ago,2012,Largos
402,Derivados de alambre,-2147.047792569998,Ago,2012,Largos
403,Varilla Corrugada,261473.568240254,Ago,2012,Largos
404,Perfiles Estructurales (Caliente y Frío),68316.1841709395,Ago,2012,Largos
405,Caliente,70036.29580993949,Ago,2012,Largos
406,Frío,-1720.1116389999993,Ago,2012,Largos
407,Perfiles Comerciales formados en Caliente,21535.09263420428,Ago,2012,Largos
408,Barras,120741.87086365705,Ago,2012,Largos
409,Perfiles Inoxidables y Aleados,2729.883181,Ago,2012,Largos
410,Rieles,5125.534,Ago,2012,Largos
411,TUBOS CON Y SIN COSTURA,140866.08834560134,Ago,2012,Terminados
412,Tubos sin Costura,41155.1202964212,Ago,2012,Terminados
413,Tubos con Costura,99710.96804918013,Ago,2012,Terminados
414,Tubos c/Costura ≤ 406.4 mm,42514.517587090064,Ago,2012,Terminados
