Año,Mes,País,Producto,Importacion
2024,Abril,El Salvador,Laminados,42.79537193
2024,Abril,Guatemala,Largos,43.012835
2024,Abril,Guatemala,Planos,40.897088
2024,Abril,Guatemala,Tubos Sin Costura,0.434124
2024,Abril,Guatemala,Laminados,84.34404699999999
2024,Abril,Honduras,Largos,23.200331279999997
2024,Abril,Honduras,Planos,32.507794669999996
2024,Abril,Honduras,Tubos Sin Costura,0.25157319
2024,Abril,Honduras,Laminados,55.95969914
2024,Abril,México,Largos,191.02916192568
2024,Abril,México,Planos,1037.90586154817
2024,Abril,México,Tubos Sin Costura,17.20591755895
2024,Abril,México,Laminados,1246.1409410328
2024,Abril,Panamá,Largos,10.474696
2024,Abril,Panamá,Planos,19.788275
2024,Abril,Panamá,Tubos Sin Costura,0.794974
2024,Abril,Panamá,Laminados,31.057945
2024,Abril,Paraguay,Largos,9.866009600000002
2024,Abril,Paraguay,Planos,26.932535400000003
2024,Abril,Paraguay,Tubos Sin Costura,0.09351789999999997
2024,Abril,Paraguay,Laminados,36.892062900000006
2024,Abril,Perú,Largos,62.79592188999964
2024,Abril,Perú,Planos,102.37449132000003
2024,Abril,Perú,Tubos Sin Costura,1.9713875699999999
2024,Abril,Perú,Laminados,167.14180077999967
2024,Abril,Uruguay,Largos,4.933653
2024,Abril,Uruguay,Planos,6.430828
2024,Abril,Uruguay,Tubos Sin Costura,0.181581
2024,Abril,Uruguay,Laminados,11.546062
2024,Abril,Venezuela,Largos,2.595887
2024,Abril,Venezuela,Planos,12.721987
2024,Abril,Venezuela,Tubos Sin Costura,0.951499
2024,Abril,Venezuela,Laminados,16.269372999999998
2024,Mayo,Argentina,Largos,10.647
2024,Mayo,Argentina,Planos,37.042
2024,Mayo,Argentina,Tubos Sin Costura,3.002
2024,Mayo,Argentina,Laminados,50.691
2024,Mayo,Bolivia,Largos,9.80941
2024,Mayo,Bolivia,Planos,20.410554
2024,Mayo,Bolivia,Tubos Sin Costura,1.954096
2024,Mayo,Bolivia,Laminados,32.174060000000004
2024,Mayo,Brasil,Largos,113.277
2024,Mayo,Brasil,Planos,272.691
2024,Mayo,Brasil,Tubos Sin Costura,0.0
2024,Mayo,Brasil,Laminados,385.96799999999996
2024,Mayo,Chile,Largos,56.477103639999996
2024,Mayo,Chile,Planos,118.74931032999997
2024,Mayo,Chile,Tubos Sin Costura,2.6580343400000004
2024,Mayo,Chile,Laminados,177.88444830999995
2024,Mayo,Colombia,Largos,44.77622891
2024,Mayo,Colombia,Planos,159.67146529
2024,Mayo,Colombia,Tubos Sin Costura,8.75861856999999
2024,Mayo,Colombia,Laminados,213.20631276999998
2024,Mayo,Costa Rica,Largos,15.406010540000004
2024,Mayo,Costa Rica,Planos,53.25612475999998
2024,Mayo,Costa Rica,Tubos Sin Costura,0.06964425999999989
2024,Mayo,Costa Rica,Laminados,68.73177955999999
2024,Mayo,Ecuador,Largos,6.436392599999999
2024,Mayo,Ecuador,Planos,69.34697039999995
2024,Mayo,Ecuador,Tubos Sin Costura,5.153665000000005
2024,Mayo,Ecuador,Laminados,80.93702799999996
2024,Mayo,El Salvador,Largos,18.3311397
2024,Mayo,El Salvador,Planos,23.19610404999999
2024,Mayo,El Salvador,Tubos Sin Costura,0.10943221
2024,Mayo,El Salvador,Laminados,41.63667596
2024,Mayo,Guatemala,Largos,31.74962
2024,Mayo,Guatemala,Planos,55.822639
2024,Mayo,Guatemala,Tubos Sin Costura,0.591901
2024,Mayo,Guatemala,Laminados,88.16416000000001
2024,Mayo,Honduras,Largos,22.31717573
2024,Mayo,Honduras,Planos,31.052257989999994
2024,Mayo,Honduras,Tubos Sin Costura,0.55065949
2024,Mayo,Honduras,Laminados,53.92009320999999
2024,Mayo,México,Largos,149.47652817614
2024,Mayo,México,Planos,853.72592142904
2024,Mayo,México,Tubos Sin Costura,4.96367338689
2024,Mayo,México,Laminados,1008.16612299207
2024,Mayo,Panamá,Largos,17.895153
2024,Mayo,Panamá,Planos,5.305931
2024,Mayo,Panamá,Tubos Sin Costura,0.099961
2024,Mayo,Panamá,Laminados,23.301045000000002
2024,Mayo,Paraguay,Largos,6.531170100000001
2024,Mayo,Paraguay,Planos,22.812279399999998
2024,Mayo,Paraguay,Tubos Sin Costura,0.4944431
2024,Mayo,Paraguay,Laminados,29.8378926
2024,Mayo,Perú,Largos,102.66563568999983
2024,Mayo,Perú,Planos,95.43855174000005
2024,Mayo,Perú,Tubos Sin Costura,6.0707015999999925
2024,Mayo,Perú,Laminados,204.17488902999986
2024,Mayo,Uruguay,Largos,3.982592
2024,Mayo,Uruguay,Planos,9.347844
2024,Mayo,Uruguay,Tubos Sin Costura,0.16777
2024,Mayo,Uruguay,Laminados,13.498206000000001
2024,Mayo,Venezuela,Largos,0.701364
2024,Mayo,Venezuela,Planos,6.773803
2024,Mayo,Venezuela,Tubos Sin Costura,8.869367
2024,Mayo,Venezuela,Laminados,16.344534
2024,Junio,Argentina,Largos,10.176
2024,Junio,Argentina,Planos,29.689
2024,Junio,Argentina,Tubos Sin Costura,1.711
2024,Junio,Argentina,Laminados,41.576
2024,Junio,Bolivia,Largos,10.180675
2024,Junio,Bolivia,Planos,10.924362
2024,Junio,Bolivia,Tubos Sin Costura,2.196041
2024,Junio,Bolivia,Laminados,23.301078000000004
2024,Junio,Brasil,Largos,56.532
2024,Junio,Brasil,Planos,233.246
2024,Junio,Brasil,Tubos Sin Costura,0.0
2024,Junio,Brasil,Laminados,289.778
2024,Junio,Chile,Largos,35.83622883999999
2024,Junio,Chile,Planos,63.54677149999999
2024,Junio,Chile,Tubos Sin Costura,1.3582970099999996
2024,Junio,Chile,Laminados,100.74129734999998
2024,Junio,Colombia,Largos,55.86677634
2024,Junio,Colombia,Planos,99.66951
2024,Junio,Colombia,Tubos Sin Costura,11.37793
2024,Junio,Colombia,Laminados,166.91421634
