,impo_planos_venezuela,02.01 LAMINA EN CALIENTE,PLANOS,Carbón Mineral,Planos de Acero al Silicio,Lámina con Recubrimiento,anglePerfilesComerciales,platePlacaDeHoja,expo_planos_ecuador,HIERRO DE PRIMERA FUSIÓN,04.01 LAMINA GALVANIZADA,03.01 LAMINA EN FRIO,Arrabio,Planchón,wBeamsPerfilesEstructurales
57,8.618682,13139,1279028.165043496,542921.556277,45392.2892998,355086.31984891,59.3,79.25,0.3234583,736339.53736933,1238,2551,223807.84736933,497479.6145506601,70.5
58,7.114623,13104,1220663.029688356,542502.7553140001,35413.61799259001,340103.09434906003,55.8,78.8,0.1807483,730742.19941233,1065,2380,224801.19941233,530494.4318433,66.0
59,4.893527,15591,1154613.852483906,710475.6768720001,37025.708796,335324.02865422,55.8,71.75,0.281035,710247.94868733,977,2368,131608.04848733,505271.99028711,66.0
60,3.407084,15954,1322042.12435755,918394.44445166,24137.443926,368477.21677057,55.8,71.0,0.1349237999999999,651494.076692,1099,2881,92544.556692,656792.890153,66.0
61,4.380903,15622,1303916.69052795,549258.1455313351,35858.33593399999,377246.87782216,55.8,71.0,0.285482,578013.019427,1050,2113,117086.019227,652203.44706494,66.0
62,12.733713,17088,1553233.0009413,1055043.5241717263,33513.031061999995,401386.2698655399,58.3,75.375,0.3775705,646432.638991,1136,2194,94104.388991,674165.6730881,68.5
63,3.158538,11601,1419209.82010772,521634.9613181467,28371.830864969997,399532.90252254,58.3,77.0,0.222051,645025.395128,811,2223,97525.325128,626597.4648314,68.5
64,8.918506,13045,1567482.4807664598,627963.8513878967,43369.9230271,420632.85390453,58.3,77.8,0.0540972,589500.592515,1119,2263,90619.592315,673812.3646155399,68.5
65,6.287365,13026,1542009.8652553398,582505.3288755313,40479.14425398,404867.86315693,58.3,76.0,0.3952445,603091.05371,947,1998,89922.13351,735118.443595,68.5
66,6.494734,13173,1667432.63797611,674739.8528586881,33871.32244880001,444345.50752115,57.1,75.0,0.1178496,554697.242566,728,2143,77594.237316,628041.9494072,67.6
67,3.225389,16345,1670716.98829867,819297.1954126687,48792.10914185001,463122.70687611,55.8,74.9,0.294008,692921.3828860001,1099,2447,113446.081886,701043.43543299,64.75
68,11.940596,17613,1574721.88072733,818581.6793356169,48020.45915103,453312.6356998501,55.8,74.125,0.2127039,635460.4253199999,1059,2784,80735.72532,687164.3953515999,64.75
69,13.885897,22955,1638523.27081264,663055.422204591,40105.08762080001,452186.4582232799,55.8,71.1,0.3538100999999999,630543.163311,1350,3309,84746.99631100001,571398.1326946,64.75
70,9.045534,17372,1502093.51852314,749853.2169019044,41392.083718800015,456068.0814149,55.8,66.75,0.1601264999999999,518876.646445,1575,2986,80051.62939500001,683119.93716389,64.75
71,6.334771,15597,1420700.1400407,389941.95958290144,39015.98977599999,383822.1776471101,58.8,66.0,0.1068076,653552.4826300001,1122,1887,134815.72762999998,734369.6034498,64.75
