Año,Mes,País,Producto,Consumo
2024,Abril,Colombia,Largos,206.23030979
2024,Abril,Colombia,Planos,170.95435683
2024,Abril,Colombia,Tubos Sin Costura,15.74869148
2024,Abril,Colombia,Laminados,392.9333581
2024,Abril,Costa Rica,Largos,44.10146935127379
2024,Abril,Costa Rica,Planos,40.480181789999946
2024,Abril,Costa Rica,Tubos Sin Costura,0.043706830000000016
2024,Abril,Costa Rica,Laminados,84.62535797127374
2024,Abril,Ecuador,Largos,61.04431792566629
2024,Abril,Ecuador,Planos,64.2053497999999
2024,Abril,Ecuador,Tubos Sin Costura,11.792529089999997
2024,Abril,Ecuador,Laminados,137.0421968156662
2024,Abril,El Salvador,Largos,7.743048719999998
2024,Abril,El Salvador,Planos,22.115718540000003
2024,Abril,El Salvador,Tubos Sin Costura,0.20004528
2024,Abril,El Salvador,Laminados,30.05881254
2024,Abril,Guatemala,Largos,55.74980033063737
2024,Abril,Guatemala,Planos,35.676328999999996
2024,Abril,Guatemala,Tubos Sin Costura,0.336818
2024,Abril,Guatemala,Laminados,91.76294733063736
2024,Abril,Honduras,Largos,15.796093919999997
2024,Abril,Honduras,Planos,29.234960779999994
2024,Abril,Honduras,Tubos Sin Costura,0.2211141
2024,Abril,Honduras,Laminados,45.25216879999999
2024,Abril,México,Largos,853.3638401920899
2024,Abril,México,Planos,1670.59644948581
2024,Abril,México,Tubos Sin Costura,34.807887874470005
2024,Abril,México,Laminados,2558.7681775523697
2024,Abril,Panamá,Largos,10.419471
2024,Abril,Panamá,Planos,19.612519
2024,Abril,Panamá,Tubos Sin Costura,0.782373
2024,Abril,Panamá,Laminados,30.814363
2024,Abril,Paraguay,Largos,13.294835227977913
2024,Abril,Paraguay,Planos,26.924587400000004
2024,Abril,Paraguay,Tubos Sin Costura,0.09351789999999997
2024,Abril,Paraguay,Laminados,40.31294052797792
2024,Abril,Perú,Largos,192.1711011596449
2024,Abril,Perú,Planos,105.89201148300913
2024,Abril,Perú,Tubos Sin Costura,1.8657642099999998
2024,Abril,Perú,Laminados,299.928876852654
2024,Abril,República Dominicana,Largos,36.18667580437262
2024,Abril,República Dominicana,Planos,4.539422181519833
2024,Abril,República Dominicana,Tubos Sin Costura,0.0
2024,Abril,República Dominicana,Laminados,40.72609798589245
2024,Abril,Uruguay,Largos,8.494940333855519
2024,Abril,Uruguay,Planos,6.385848
2024,Abril,Uruguay,Tubos Sin Costura,0.173697
2024,Abril,Uruguay,Laminados,15.05448533385552
2024,Abril,Venezuela,Largos,8.956547241916732
2024,Abril,Venezuela,Planos,12.721987
2024,Abril,Venezuela,Tubos Sin Costura,0.792551
2024,Abril,Venezuela,Laminados,22.471085241916732
2024,Mayo,Argentina,Largos,61.96000000000001
2024,Mayo,Argentina,Planos,158.978
2024,Mayo,Argentina,Tubos Sin Costura,19.216
2024,Mayo,Argentina,Laminados,240.15400000000002
2024,Mayo,Bolivia,Largos,9.802584
2024,Mayo,Bolivia,Planos,20.410554
2024,Mayo,Bolivia,Tubos Sin Costura,1.906095
2024,Mayo,Bolivia,Laminados,32.119233
2024,Mayo,Brasil,Largos,866.364
