Año,Mes,Familia_canacero,Vol. Ventas (ton)
2020,septiembre,04.01 LAMINA GALVANIZADA,633.320566
2020,septiembre,05.01 PERFILES ESTRUCTURALES,11055.588469
2020,septiembre,06.01 PERFILES COMERCIALES,5057.680682
2020,octubre,01.01 PLACA DE ROLLO,11050.794530000001
2020,octubre,01.02 PLACA DE HOJA,2557.85556
2020,octubre,02.01 LAMINA EN CALIENTE,12930.527028999999
2020,octubre,03.01 LAMINA EN FRIO,1812.181
2020,octubre,04.01 LAMINA GALVANIZADA,271.928262
2020,octubre,05.01 PERFILES ESTRUCTURALES,12441.648285999998
2020,octubre,06.01 PERFILES COMERCIALES,5224.627212
2020,noviembre,01.01 PLACA DE ROLLO,10439.274451000001
2020,noviembre,01.02 PLACA DE HOJA,2437.1914300000003
2020,noviembre,02.01 LAMINA EN CALIENTE,9828.892721000002
2020,noviembre,03.01 LAMINA EN FRIO,1799.284
2020,noviembre,04.01 LAMINA GALVANIZADA,197.67975000000004
2020,noviembre,05.01 PERFILES ESTRUCTURALES,9720.168752000001
2020,noviembre,06.01 PERFILES COMERCIALES,4454.210110999999
2020,diciembre,01.01 PLACA DE ROLLO,10248.214831000001
2020,diciembre,01.02 PLACA DE HOJA,2296.4718
2020,diciembre,02.01 LAMINA EN CALIENTE,10453.734707999996
2020,diciembre,03.01 LAMINA EN FRIO,1558.054
2020,diciembre,04.01 LAMINA GALVANIZADA,285.222488
2020,diciembre,05.01 PERFILES ESTRUCTURALES,10763.111858999999
2020,diciembre,06.01 PERFILES COMERCIALES,5562.6036110000005
2021,enero,01.01 PLACA DE ROLLO,9271.978963
2021,enero,01.02 PLACA DE HOJA,2134.0208959999995
2021,enero,02.01 LAMINA EN CALIENTE,9661.9237
2021,enero,03.01 LAMINA EN FRIO,1407.768
2021,enero,04.01 LAMINA GALVANIZADA,294.18022700000006
2021,enero,05.01 PERFILES ESTRUCTURALES,11571.972449
2021,enero,06.01 PERFILES COMERCIALES,5423.5561689999995
2021,febrero,01.01 PLACA DE ROLLO,9440.56092
2021,febrero,01.02 PLACA DE HOJA,1596.1718600000002
2021,febrero,02.01 LAMINA EN CALIENTE,9502.830246000005
2021,febrero,03.01 LAMINA EN FRIO,1849.474
2021,febrero,04.01 LAMINA GALVANIZADA,236.16667999999999
2021,febrero,05.01 PERFILES ESTRUCTURALES,8155.827461999999
2021,febrero,06.01 PERFILES COMERCIALES,4203.557766
2021,marzo,01.01 PLACA DE ROLLO,11008.547965999998
2021,marzo,01.02 PLACA DE HOJA,3926.202183
2021,marzo,02.01 LAMINA EN CALIENTE,12934.562339000002
2021,marzo,03.01 LAMINA EN FRIO,2273.112227
2021,marzo,04.01 LAMINA GALVANIZADA,386.467676
2021,marzo,05.01 PERFILES ESTRUCTURALES,12236.316069999999
2021,marzo,06.01 PERFILES COMERCIALES,5302.935656
2021,abril,01.01 PLACA DE ROLLO,9078.802263000001
2021,abril,01.02 PLACA DE HOJA,2451.4037000000003
2021,abril,02.01 LAMINA EN CALIENTE,9502.839286000002
2021,abril,03.01 LAMINA EN FRIO,1977.355386
2021,abril,04.01 LAMINA GALVANIZADA,214.67612600000004
2021,abril,05.01 PERFILES ESTRUCTURALES,9963.924505
2021,abril,06.01 PERFILES COMERCIALES,5078.848063999999
2021,mayo,01.01 PLACA DE ROLLO,10690.481176
2021,mayo,01.02 PLACA DE HOJA,4281.5295
2021,mayo,02.01 LAMINA EN CALIENTE,11178.170521000004
2021,mayo,03.01 LAMINA EN FRIO,1940.408
2021,mayo,04.01 LAMINA GALVANIZADA,367.010568
2021,mayo,05.01 PERFILES ESTRUCTURALES,12463.363674999999
2021,mayo,06.01 PERFILES COMERCIALES,5076.506825000001
2021,junio,01.01 PLACA DE ROLLO,9969.581973
2021,junio,01.02 PLACA DE HOJA,4238.3918
2021,junio,02.01 LAMINA EN CALIENTE,9188.105494
2021,junio,03.01 LAMINA EN FRIO,1383.939
2021,junio,04.01 LAMINA GALVANIZADA,394.14810399999993
2021,junio,05.01 PERFILES ESTRUCTURALES,11565.031293
2021,junio,06.01 PERFILES COMERCIALES,4729.962261
2021,julio,01.01 PLACA DE ROLLO,7969.232098000001
2021,julio,01.02 PLACA DE HOJA,3257.8135
2021,julio,02.01 LAMINA EN CALIENTE,7056.6450669999995
2021,julio,03.01 LAMINA EN FRIO,1329.226
2021,julio,04.01 LAMINA GALVANIZADA,545.1764529999999
2021,julio,05.01 PERFILES ESTRUCTURALES,9071.313700999997
2021,julio,06.01 PERFILES COMERCIALES,3737.1432690000006
2021,agosto,01.01 PLACA DE ROLLO,8533.748492
2021,agosto,01.02 PLACA DE HOJA,4663.174572
2021,agosto,02.01 LAMINA EN CALIENTE,8128.690781000006
2021,agosto,03.01 LAMINA EN FRIO,1520.418
2021,agosto,04.01 LAMINA GALVANIZADA,856.580809
2021,agosto,05.01 PERFILES ESTRUCTURALES,11406.326132
2021,agosto,06.01 PERFILES COMERCIALES,4174.951205
2021,septiembre,01.01 PLACA DE ROLLO,8015.707386
2021,septiembre,01.02 PLACA DE HOJA,2919.16673
2021,septiembre,02.01 LAMINA EN CALIENTE,9173.163971
2021,septiembre,03.01 LAMINA EN FRIO,1323.835
