Fecha,Alambre,Alambre y derivados,Alambrón,Arrabio,Barras,Caliente,Carbón Mineral,Chatarra,"Cintas, Tiras y Flejes",Coque,Derivados de alambre,Ferroaleaciones,Fierro Esponja,Frío,Granallas y Polvos,HIERRO DE PRIMERA FUSIÓN,"Lingotes, Palanquillas, etc.",Lámina con Recubrimiento,Material Relaminable,Mineral de Hierro,PLANOS,Perfiles Comerciales formados en Caliente,Perfiles Estructurales (Caliente y Frío),Perfiles Inoxidables y Aleados,Planchón,Planos con Otros Recubiertos y Trabajos,Planos de Acero Aleado,Planos de Acero Inoxidable,Planos de Acero al Silicio,Rieles,TUBOS CON Y SIN COSTURA,Tubos c/Costura > 406.4 mm,Tubos c/Costura ≤ 406.4 mm,Tubos con Costura,Tubos sin Costura,Varilla Corrugada
2017-12,150022.9893917,145448.221259,169378.3077525,365729.84179900005,109513.06095849998,76759.2116294,1450899.873799,548842.8995666,-550.9559835999996,175460.51321200002,-4574.768132700002,24868.7069626,514625.757,-3364.5914330000014,5072.748439999999,880355.598799,175896.37132,327073.4321392,2845.402,638026.036665,1295864.6064870302,29845.544131600003,73394.62019639999,2190.7221627999998,334708.95611800003,5305.567353999999,135121.46067250002,53437.4461014,16117.699211399999,4106.36246,75230.482287397,22472.3675664,21704.064855496996,44176.432421897,31054.049865500005,268681.53012
2018-01,171578.15108860002,168843.26568932,207085.27132353,416118.87652667,128664.946534166,79379.0866709,1390473.5292,926683.465208357,-3062.3295961999993,164106.239402,-2734.885399279997,30692.2566382,589553.37758333,-3368.9642934999997,4595.9824136,1005672.2541100001,204526.711529,379223.57918593,692.5849999999999,822885.15547,1334947.1380915365,35470.107602000004,76010.12237740001,1199.4560933999999,346817.52203999995,10934.9741744,135109.06125849998,61585.723329599976,16231.399320999999,5898.816897,81974.44134436702,12743.5687816,36832.59836816702,49576.16714976702,32398.27419460001,351054.29760033
2018-02,165000.69543780002,162228.9503256,187509.77439382998,404561.53054667,109932.759115267,82725.7001259,1419430.8189410998,886758.035208357,-2275.742792500001,237483.20733,-2771.745112200002,25312.9839512,525535.68894333,-6657.280052300001,4505.0680092,930097.21949,189467.88671299999,354291.9195492301,2318.435335,870473.0081369999,1236831.8997944363,36177.7362023,76068.42007359999,880.9219503000002,280760.1024699999,3055.1893041999974,119510.20844259996,63732.28615179996,12262.865867000002,5812.5878889000005,38982.266716667014,11883.9262298,29896.317803366997,41780.24403316699,-2797.9773164999788,315818.12327833
2018-03,175674.3417006,168147.2371351,175567.02903913002,448736.19583367,121274.498854967,82690.6100544,1339078.948238,982609.4552083571,-2365.407605000001,160833.337436,-7527.1045655,27073.780283400003,640066.64158333,-6989.0879663000005,5542.914003000001,1088802.837417,220990.9715628,385708.8871225299,2032.2703839999997,1071013.512408,1432076.7084073364,44861.3396317,75701.5220881,1266.9427219,296948.4643,-2511.0448050000014,188670.09924390007,60376.34858190001,21982.87486099999,5398.276565999999,71200.319631967,15213.6458586,27581.894150166998,42795.540008767,28404.779623199996,334675.54601333
2018-04,177963.5587482,170693.69631565,211341.30856503002,464392.35770467,109630.31324986706,93146.2355518,1138710.4233449998,920485.875208357,914.8759640000002,179863.85490900002,-7269.862432549998,28993.543220500003,525737.79958333,-8140.271854699999,4783.638934500001,990130.157288,169194.230203,413319.69769773,4796.129296,1026685.1358759999,1404092.7408091864,43323.532784400006,85005.9636971,1895.7903185,336959.5158944001,2762.5037657999965,149263.45560609995,61067.586924100004,22098.336665100003,2595.9534710000003,96065.32237341705,29196.9079961,33178.424988217004,62375.33298431701,33689.98938910004,323812.63191433
2018-05,168417.7579067,162710.3884612,174830.96280333004,335999.52800166997,125241.00914316601,86781.23002770002,997048.457766,980549.745208357,-213.14257450000014,246036.791279,-5707.369445500008,29379.019533,623579.57458333,-8582.1048417,4890.6041213,959579.102585,214047.175873,409209.87472002994,2457.309941,819906.425755,1389706.4116971362,37735.04562600001,78199.12518600002,3258.7856325,387738.6219244001,974.2887407000035,185917.38762810003,74390.98819679998,20030.682237999994,6510.554399199999,42492.08258536699,15395.247880900002,28718.111710066987,44113.35959096699,-1621.2770056000008,377961.61389832996
2018-06,178447.8570444,171930.39749640002,206359.90013883,446618.88911667,136498.30011956612,75337.5483444,1667176.737985,944249.575208357,1058.6117206000001,220789.037675,-6517.459547999986,26331.656770999998,542562.28358333,-1405.213463699999,5073.7438523,989181.1727,215709.55598,394170.50447782996,219.220219,863731.411515,1354996.7937903362,39778.2987805,73932.3348807,3770.9275750000006,276980.696936,1197.9697493999975,128476.06390039997,51649.02220189997,29975.35037100001,5234.1118436,91950.65730066701,9472.4242163,43833.567443866996,53305.991660167,38644.66564050001,354700.64510233
2018-07,179660.196073,173179.22756109998,219431.66138163,368762.87856267,122320.63129066602,89164.9582138,1185301.051508,959824.135208357,320.01966879999964,225522.84527320002,-6480.968511900013,29853.854453000004,558656.64158333,-4682.178241899998,4497.2949587,927419.520146,184411.739141,379895.06259953004,596.588114,953508.176088,1312643.4733732364,48134.414390599995,84482.7799719,1043.7253910999998,201946.88163720001,1723.4478313000036,148148.31836539987,69843.62109790002,21377.39363199999,3120.8226450000006,64998.137889267025,14944.4858991,34706.261285867,49650.747184967004,15347.390704300022,354571.21662433
2018-08,137531.08900749002,132796.85722159,164641.11453392,322355.75051967,158430.48411345697,100433.12968480999,1728507.54066,961855.445208357,823.8790033999996,200222.8085,-4734.231785899998,27035.275194,605957.42158333,-5884.329208020001,6218.21553994,928313.1721030001,177515.34802499998,387496.36557908,2684.300656,888621.114244,1313056.2002931766,46984.099883740004,94548.80047679,572.2779256100001,247655.36054039997,7199.821654270003,123228.67812995003,74991.51972643999,22628.488843999992,8283.1315593,88929.07949793703,19517.4388959,46325.497977917024,65842.93687381703,23086.142624119995,320872.30490233
2018-09,150285.3328689,145851.5362981,181139.39842963,415498.80934567,117107.071141067,82728.5764663,1352980.2505072,892685.825208357,701.1759212999999,173914.401265,-4433.796570799999,26987.707502,536513.80258333,-4206.279148199999,4900.513453099999,952012.6119289999,142703.83693599998,347839.83809943,3269.482807,565476.269471,1217972.0905227365,43834.2311303,78522.2973181,1030.3264689999999,245740.67589250003,2498.610835999999,134839.14252589998,63006.5249383,22056.102468,2668.926995,72897.451542467,11516.294480499997,41465.231350667,52981.525831167004,19915.92571129999,270350.40426433
